username,tweet,username_of_retweeter,hashtag,tweet created,number of followers,# following
,,,,,,
Diego_Twahirwa,#breakingnews: #rwanda’s nyabihu tea factory scoops another highest price – selling its bp1 at us $7.22 at the ongoing @eatta’s 45th auction. it's the highest record price in the history of this auction. the recent highest price (6.64usd) was earned by the same factory. congz 🏆! https://t.co/m6dhfnbdl9,RwandaTea,"[{'text': 'BreakingNews', 'indices': [15, 28]}, {'text': 'Rwanda', 'indices': [30, 37]}]",2019-11-05 11:57:45+00:00,2719,832
,,,,,,
RwandaAgri,#breakingnews: #rwanda’s nyabihu tea factory scoops another highest price – selling its bp1 at us $7.22 at the ongoing @eatta’s 45th auction. it's the highest record price in the history of this auction. the recent highest price (6.64usd) was earned by the same factory. congz 🏆! https://t.co/m6dhfnbdl9,RwandaTea,"[{'text': 'BreakingNews', 'indices': [15, 28]}, {'text': 'Rwanda', 'indices': [30, 37]}]",2019-11-05 11:57:23+00:00,20710,1348
,,,,,,
g_mukeshimana,#breakingnews: #rwanda’s nyabihu tea factory scoops another highest price – selling its bp1 at us $7.22 at the ongoing @eatta’s 45th auction. it's the highest record price in the history of this auction. the recent highest price (6.64usd) was earned by the same factory. congz 🏆! https://t.co/m6dhfnbdl9,RwandaTea,"[{'text': 'BreakingNews', 'indices': [15, 28]}, {'text': 'Rwanda', 'indices': [30, 37]}]",2019-11-05 11:57:13+00:00,18382,221
,,,,,,
Empty_Shell_,fotos cosplay en sesiones vs fotos en salones con los colegas https://t.co/naoqjqnm8g,David_BP1,[],2019-11-05 11:48:33+00:00,223,272
,,,,,,
kateygoalie,"the facility will include centres for youth bipolar disorder and anxiety disorders, sleep disorder services and the largest traumatic brain injury clinic of its kind in ontario
https://t.co/w27tefcab2",CTVToronto,[],2019-11-05 11:35:28+00:00,5094,2222
,,,,,,
GusasiraE,#breakingnews: #rwanda’s nyabihu tea factory scoops another highest price – selling its bp1 at us $7.22 at the ongoing @eatta’s 45th auction. it's the highest record price in the history of this auction. the recent highest price (6.64usd) was earned by the same factory. congz 🏆! https://t.co/m6dhfnbdl9,RwandaTea,"[{'text': 'BreakingNews', 'indices': [15, 28]}, {'text': 'Rwanda', 'indices': [30, 37]}]",2019-11-05 11:28:09+00:00,24,117
,,,,,,
