username,tweet,username_of_retweeter,hashtag,tweet created,number of followers,# following
16p_ch,b'@xexexe0 \xe8\xa8\x80\xe3\x81\x86\xe3\x81\xbb\xe3\x81\xa9\xe5\x8d\x8a\xe9\xa1\x8d\xe3\x81\xa7\xe4\xbd\xbf\xe3\x81\x86\xe3\x81\x8b\xef\xbc\x9f\xe3\x81\xa8\xe6\x80\x9d\xe3\x81\xa3\xe3\x81\x9f\xe3\x81\x91\xe3\x81\xa9\xe6\x9c\xac\xe6\xb0\x97\xe3\x81\xa7\xe9\xa4\x8c\xe9\x9b\x86\xe3\x82\x81\xe3\x81\x99\xe3\x82\x8b\xe3\x81\xaa\xe3\x82\x89\xe3\x82\x84\xe3\x82\x8b\xe3\x81\xaa\xe3\x83\xbc \xe3\x81\xa4\xe3\x81\xa3\xe3\x81\xa6\xe3\x82\x82\xe3\x81\x84\xe3\x81\xbebp1-3\xe3\x81\xa0\xe3\x81\x97\xe3\x81\x9d\xe3\x82\x8c\xe3\x81\xa7\xe3\x82\x82\xe9\x87\x8f\xe4\xbd\xbf\xe3\x81\x88\xe3\x82\x93\xe3\x82\x8f',no retweet username,[],2017-02-01 08:59:29+00:00,310,534
Rukuchaso_FF14,b'\xe3\x83\x9e\xe3\x82\xb0\xe3\x83\x8ahl\xe3\x81\xaebp1\xe3\x81\x8b\xe3\x82\x892\xe3\x81\xab\xe3\x82\xb5\xe3\x82\xa4\xe3\x83\xac\xe3\x83\xb3\xe3\x83\x88\xe4\xbf\xae\xe6\xad\xa3\xe3\x81\x95\xe3\x82\x8c\xe3\x81\x9f\xe3\x82\x89\xe3\x81\x97\xe3\x81\x84\xe3\x81\x91\xe3\x81\xa9\xe5\xae\x9f\xe9\x9a\x9b\xe3\x81\xaf\xe4\xbb\x8a2\xe3\x81\xaa\xe3\x81\xae\xef\xbc\x9f',no retweet username,[],2017-02-01 08:57:50+00:00,163,160
TsukuP_cg,b'@tachibana_1111 \xe5\x8d\x8a\xe9\xa1\x8dbp1\xe3\x81\xab\xe3\x81\xaa\xe3\x82\x8b\xe3\x81\xbe\xe3\x81\xa7\xe6\x8a\x97\xe8\xad\xb0\xe3\x81\x97\xe3\x81\xaa\xe3\x81\x8d\xe3\x82\x83',no retweet username,[],2017-02-01 08:56:26+00:00,1324,1253
gordux,"b""i'm going to give the hourly comics a try! bipolar disorder be damned! https://t.co/q1sougbw9b""",no retweet username,[],2017-02-01 08:50:29+00:00,121,2864
damulgu1107,b'\xe6\xb5\x81\xe7\x9f\xb3\xe3\x81\xab\xe3\x83\x9e\xe3\x82\xb0\xe3\x83\x8a\xe3\x81\xaebp1\xe3\x81\xa7\xe3\x81\xaf\xe3\x81\xaa\xe3\x81\x8b\xe3\x81\xa3\xe3\x81\x9f\xe3\x81\x8b',no retweet username,[],2017-02-01 08:41:47+00:00,110,321
tsts_gbf,b'bp1\xe3\x81\xab\xe3\x81\x99\xe3\x82\x8b\xe3\x82\x8f\xe3\x81\x91\xe3\x81\xab\xe3\x81\xaf\xe3\x81\x84\xe3\x81\x8b\xe3\x81\xaa\xe3\x81\x84\xe3\x81\x8b\xe3\x82\x89\xe4\xbb\x95\xe6\x96\xb9\xe3\x81\xaa\xe3\x81\x84\xe3\x82\x93\xe3\x81\xa0\xe3\x81\x91\xe3\x81\xa95\xe3\x81\xae\xe5\x8d\x8a\xe9\xa1\x8d\xe3\x81\x8c2\xe3\x81\xa73\xe3\x81\xae\xe5\x8d\x8a\xe9\xa1\x8d\xe3\x81\x8c2\xe3\x81\xaa\xe3\x81\xae\xe3\x81\x97\xe3\x81\xa3\xe3\x81\x8f\xe3\x82\x8a\xe3\x81\x93\xe3\x81\xad\xe3\x81\x88w',no retweet username,[],2017-02-01 08:40:35+00:00,143,278
asap_lz,b'\xe3\x81\x82\xe3\x81\x82\xef\xbd\x97\xe3\x81\x95\xe3\x81\x99\xe3\x81\x8c\xe3\x81\xabbp\xef\xbc\x91\xe3\x81\xab\xe3\x81\xaf\xe3\x81\xaa\xe3\x82\x89\xe3\x82\x93\xe3\x81\x8b\xe3\x81\xa3\xe3\x81\x9f\xe3\x82\x93\xe3\x82\x84\xe3\x81\xad',no retweet username,[],2017-02-01 08:40:04+00:00,19,162
kazitu_atoti,b'bp1\xe6\xb8\x9b\xe3\x82\x8b\xe3\x81\xa0\xe3\x81\x91\xe3\x81\xa7\xe3\x82\x82\xe3\x82\xaf\xe3\x82\xbd\xe3\x81\xbb\xe3\x81\xa9\xe4\xba\xba\xe3\x81\xa7\xe6\xba\xa2\xe3\x82\x8c\xe3\x81\x8b\xe3\x81\x88\xe3\x82\x8b\xe3\x81\xaa\xe3\x81\x81\xe2\x80\xa6',no retweet username,[],2017-02-01 08:33:50+00:00,923,2998
BhuddiGuru,"b'""manic bipolar depression"" i don\'t even know what that is.'",no retweet username,[],2017-02-01 08:33:44+00:00,530,432
chiechan_lv,b'\xe3\x83\x9e\xe3\x82\xb0\xe3\x83\x8a\xe7\xb3\xbb\xe3\x81\xaf\xe6\xb5\x81\xe7\x9f\xb3\xe3\x81\xabbp1\xe3\x81\xab\xe3\x81\xaf\xe3\x81\xaa\xe3\x82\x89\xe3\x82\x93\xe3\x81\x8b\xe3\x81\xa3\xe3\x81\x9f\xe3\x81\x8b',no retweet username,[],2017-02-01 08:29:29+00:00,234,2464
