username,tweet,username_of_retweeter,hashtag,tweet created,number of followers,# following,label
obese_dyke,"self diagnosed with severe depression, anxiety, add, insomnia, ocd, antisocial personality disorder, ptsd, bipolar disorder, &amp; schizophrenia",no retweet username,[],2017-02-01 08:43:02+00:00,54,18,['diagnosed with']
Anxiety_and_I,"a&amp;i friend writes 💜

i have just recently been diagnosed with bipolar disorder and was wondering if you guys had... https://t.co/xwsmii11hz",no retweet username,[],2017-02-01 01:00:40+00:00,1133,224,"['diagnosed with', 'diagnosed with bipolar']"
LidsRodney,@theamberadams @erabrand @lmcclelland63 she's just been diagnosed with bipolar &amp; is getting harassed by the admin about being bi.,no retweet username,[],2017-01-31 22:54:50+00:00,5012,4678,"['diagnosed with', 'diagnosed with bipolar']"
XandraRis,like oh fuck she got diagnosed with bipolar she's even more crazier than i thought let's just leave her to deal with this shit on her own,no retweet username,[],2017-01-31 21:36:04+00:00,228,779,"['got diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
DjTonyThrill,dont care about people with bipolar til their child is diagnosed with it,no retweet username,[],2017-01-31 21:15:27+00:00,210,550,['diagnosed with']
BLT_RT_Bot,#bellletstalk two yrs ago i was diagnosed w/bipolar ll d/o. during a manic phase i made some poor choices. i had support from family.,MoyetSandy,"[{'text': 'bellletstalk', 'indices': [16, 29]}]",2017-01-31 21:12:12+00:00,218,0,[]
MoyetSandy,#bellletstalk two yrs ago i was diagnosed w/bipolar ll d/o. during a manic phase i made some poor choices. i had support from family.,MoyetSandy,"[{'text': 'bellletstalk', 'indices': [16, 29]}]",2017-01-31 21:04:51+00:00,26,81,[]
MoyetSandy,#bellletstalk two yrs ago i was diagnosed w/bipolar ll d/o. during a manic phase i made some poor choices. i had support from family.,no retweet username,"[{'text': 'bellletstalk', 'indices': [0, 13]}]",2017-01-31 21:04:25+00:00,26,81,[]
ipekaykol_,"💌diagnosed with bipolar disorder and put on a medication to help treat it, sia became dependent… https://t.co/w8adoqxqzw",no retweet username,[],2017-01-31 19:05:50+00:00,85,120,[]
AliceWeeds,how do you get diagnosed as bipolar cause i think i classify,gwynstartin,[],2017-01-31 18:58:34+00:00,77,62,['diagnosed as bipolar']
Lucidius134,"like most people with mental illness, my bipolar disorder was diagnosed by a psych undergrad who was paid $400 to watch youtube clips of me",thomas_violence,[],2017-01-31 17:38:12+00:00,662,1001,[]
gwynstartin,how do you get diagnosed as bipolar cause i think i classify,no retweet username,[],2017-01-31 17:22:59+00:00,221,277,['diagnosed as bipolar']
AshleyInSTL8,"i don't know if you've ever dated a diagnosed bipolar off their meds, but the last week, nationally, is pretty much what it feels like.",jeremyessig,[],2017-01-31 17:02:30+00:00,559,878,['diagnosed bipolar']
HLadbrook,bipolar spouses... who's taking care of you? a diagnosis of #bipolar disorder demands att https://t.co/kim6r1wbiv https://t.co/dqlteumdia,_carrienet_,"[{'text': 'Bipolar', 'indices': [77, 85]}]",2017-01-31 16:14:15+00:00,59,306,[]
cryshots,bisola the psychiatrist has diagnosed coco with bipolar. 😕😕,no retweet username,[],2017-01-31 15:54:26+00:00,3862,236,[]
hipster_trash__,"like most people with mental illness, my bipolar disorder was diagnosed by a psych undergrad who was paid $400 to watch youtube clips of me",thomas_violence,[],2017-01-31 15:37:09+00:00,127,544,[]
CA_Survivor,link – should i tell others about my bipolar disorder diagnosis? https://t.co/5jygsvk9gb https://t.co/muywegp2tl,no retweet username,[],2017-01-31 14:47:00+00:00,12427,3498,[]
vardasnejonas,"like most people with mental illness, my bipolar disorder was diagnosed by a psych undergrad who was paid $400 to watch youtube clips of me",thomas_violence,[],2017-01-31 14:00:15+00:00,274,214,[]
thomas_violence,"like most people with mental illness, my bipolar disorder was diagnosed by a psych undergrad who was paid $400 to watch youtube clips of me",no retweet username,[],2017-01-31 13:59:14+00:00,82600,2323,[]
English55051210,"@zeldawilliams @rwfansite i am diagnosed #bipolar #bpd  #postpartumdepression .. only supported by my mum, husband &amp; few friends #stigma 😔💚❗",no retweet username,"[{'text': 'Bipolar', 'indices': [41, 49]}, {'text': 'BPD', 'indices': [50, 54]}, {'text': 'postpartumdepression', 'indices': [56, 77]}, {'text': 'Stigma', 'indices': [133, 140]}]",2017-01-31 13:26:10+00:00,9,237,"['am diagnosed', 'i am diagnosed']"
markwwilsonmd,are u diagnosed w #bipolar disorder? come to our support group thu 6:30-8pm. call helpline 212-684-3264 for info. #talktome #iwilllisten,NAMINYCMetro,"[{'text': 'bipolar', 'indices': [32, 40]}, {'text': 'TalkToMe', 'indices': [128, 137]}]",2017-01-31 13:11:08+00:00,6921,3777,[]
NAMINYCMetro,are u diagnosed w #bipolar disorder? come to our support group thu 6:30-8pm. call helpline 212-684-3264 for info. #talktome #iwilllisten,no retweet username,"[{'text': 'bipolar', 'indices': [18, 26]}, {'text': 'TalkToMe', 'indices': [114, 123]}, {'text': 'IWillListen', 'indices': [124, 136]}]",2017-01-31 13:10:19+00:00,3881,2064,[]
