username,tweet,username_of_retweeter,hashtag,tweet created,number of followers,# following
L_Aitken,"b'thanks to twitter friends, i sent in a complaint to the nhs and had this resolved. i saw the medic who, after letting me explain everything at length, diagnosed me with eupd/eid, an eating disorder and mild ocd. the latter two, alongside bipolar type 2 &amp; gad will be reviewed 10/'",no retweet username,[],2018-02-01 08:58:00+00:00,3753,3281
AutisticAsshoe,b'to just have this here\n\ni have \n-autism(comes with ocd traits)\n-bp -bpd traits\n-social and general anxiety disorder\n-epilepsy(simple/complex partials)\n-paranoid schizophrenia',no retweet username,[],2018-02-01 08:57:48+00:00,420,1962
DepressionSoltn,b'can bipolar disorder be passed down ? | mega health channel &amp; answers - video-&gt; https://t.co/pyuusjhmjt \n#depression https://t.co/anpyhzqc0n',no retweet username,"[{'text': 'Depression', 'indices': [112, 123]}]",2018-02-01 08:54:24+00:00,198,17
realmsworldwide,"b""mental illness isn't just anxiety and depression, its eating disorders, ocd, adhd, bipolar disorder and so many more illnesses that don't get the help they deserve #bellletstalk""",kamryn_simard,[],2018-02-01 08:53:11+00:00,764,521
Bullfrogr,"b""actually i'm sorry to say,but it seems to me,people with depression are harder to pass for normals - they seem to be often talking of suicide&amp;self-loathing.people with bipolar too - they're often moody.but people with my disorder are only noticeable when psychotic.""",no retweet username,[],2018-02-01 08:49:39+00:00,8832,3844
eyesbleary_,b'@gaywonk bipolar disorder is that you?',no retweet username,[],2018-02-01 08:46:44+00:00,13,260
HeartThamesNews,b'a woman from reading who has bipolar disorder is encouraging us to speak out about mental health problems on #timetotalkday #heartnews https://t.co/sis3rrx7dr',no retweet username,[],2018-02-01 08:44:00+00:00,7345,2582
rodpmsmith,"b'time to talk\n\n\xe2\x80\xa2anxiety \xe2\x80\xa2bipolar \xe2\x80\xa2depression\n\xe2\x80\xa2eating disorders \xe2\x80\xa2ocd \xe2\x80\xa2ptsd\n\xe2\x80\xa2premenstrual dysphoric disorder\n\xe2\x80\xa2schizophrenia \xe2\x80\xa2self harm \xe2\x80\xa2suicidal \nare a few types of mental health diagnoses. \n\nremember #yourenotalone, don\xe2\x80\x99t be embarrassed, it\xe2\x80\x99s #timetotalk about it! https://t.co/ecr4ckcleb'",vh_interiors,[],2018-02-01 08:43:06+00:00,559,676
Justme__08,"b'because you are more than what your depression, bipolar disorder, schizophrenia, borderline personality disorder, eating disorder, or any other thing tells you that you are. you are loved. you are enough. #bellletstalk'",ohhey_shana,[],2018-02-01 08:42:34+00:00,197,564
vh_interiors,"b'time to talk\n\n\xe2\x80\xa2anxiety \xe2\x80\xa2bipolar \xe2\x80\xa2depression\n\xe2\x80\xa2eating disorders \xe2\x80\xa2ocd \xe2\x80\xa2ptsd\n\xe2\x80\xa2premenstrual dysphoric disorder\n\xe2\x80\xa2schizophrenia \xe2\x80\xa2self harm \xe2\x80\xa2suicidal \nare a few types of mental health diagnoses. \n\nremember #yourenotalone, don\xe2\x80\x99t be embarrassed, it\xe2\x80\x99s #timetotalk about it! https://t.co/ecr4ckcleb'",no retweet username,[],2018-02-01 08:42:30+00:00,2190,870
