username,tweet,username_of_retweeter,hashtag,tweet created,number of followers,# following,label
ShieldingC,"i was diagnosed after all that trauma with #ptsd, #bipolar disorder, #mdd (major depressive disorder), #did, and [redacted].

a team of psychotherapists determined all of these #mentalhealth problems had zero to do with me being trans.

/8",TransEthics,"[{'text': 'PTSD', 'indices': [60, 65]}, {'text': 'bipolar', 'indices': [67, 75]}, {'text': 'MDD', 'indices': [86, 90]}, {'text': 'DID', 'indices': [120, 124]}]",2018-12-01 08:36:47+00:00,5450,4000,[]
ramblin_intelct,"so i just found out that i am clinically diagnosed as being bipolar. i’m sharing this for one reason only, and that is to let anyone else know who is dealing with this or think they may be to go seek help and guess what you gonna be alright.

love clinton",ClintColey,[],2018-12-01 05:44:11+00:00,739,1792,[]
MamiLilix,not to be rude but does this run in the family? first andre gets diagnosed with bipolar. now franklin having an “episode” of what? im confused. does this stuff run in their family? #empire,no retweet username,[],2018-12-01 03:00:43+00:00,78,336,"['diagnosed with', 'diagnosed with bipolar']"
bipolarwellness,"""i don’t know if you have bipolar illness. your doctor might have made a diagnosis, but a diagnosis is only a useful symbol. it is like a dollar bill. it is useful, but in the end, it’s just a piece of paper.""  from the book ""bipolar wellness""
https://t.co/r0gtposrij 
#bipolar https://t.co/7gxukjujnx",no retweet username,[],2018-12-01 02:40:02+00:00,6853,5631,['have bipolar']
Sassy_Soda,"@crockett119 oh yea, i've had depression for many years. had a massive breakdown a couple years back and just pulled myself out of it just over a year ago.
could also be bipolar. my mum and aunt both have been diagnosed.
but eh. i cope pretty well these days.",no retweet username,[],2018-12-01 02:17:35+00:00,704,567,[]
Girl4Music,"having a sister who's diagnosed schizophrenic and being diagnosed with bipolar with psychotic symptoms myself, i very strongly believe neither of us is truly ill anymore",boringextasy,[],2018-12-01 01:30:49+00:00,2554,623,"['being diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
robbjr27,"@theash_ley_g i just went to the doctor and they diagnosed me as manic, a form of bipolar depression. it's a very tough fight everyday but like you i keep on going, thank god for family, the gym, and wrestling lol",no retweet username,[],2018-11-30 23:53:24+00:00,166,693,[]
boringextasy,"having a sister who's diagnosed schizophrenic and being diagnosed with bipolar with psychotic symptoms myself, i very strongly believe neither of us is truly ill anymore",no retweet username,[],2018-11-30 23:42:01+00:00,593,188,"['being diagnosed', 'diagnosed with', 'diagnosed with bipolar']"
kanyotusamuel,"@patohshanqueels had a friend who was active during the night but slept all day, we all thought it was cool until he was diagnosed with bipolar disorder",no retweet username,[],2018-11-30 23:17:21+00:00,2359,1046,"['diagnosed with', 'diagnosed with bipolar']"
sanityswaste,"why @demetriusharmon means so much to me:
i got diagnosed with bipolar disorder when i was 15 but i have always suffered for it. for those who don’t know my type of bipolar is when i have manic/depressive episodes. i get really high or i get really low.",no retweet username,[],2018-11-30 23:14:53+00:00,263,212,"['got diagnosed', 'diagnosed with', 'i got diagnosed', 'diagnosed with bipolar']"
