username,tweet,username_of_retweeter,hashtag,tweet created,number of followers,# following
Diego_Twahirwa,#breakingnews: #rwanda’s nyabihu tea factory scoops another highest price – selling its bp1 at us $7.22 at the ongoing @eatta’s 45th auction. it's the highest record price in the history of this auction. the recent highest price (6.64usd) was earned by the same factory. congz 🏆! https://t.co/m6dhfnbdl9,RwandaTea,"[{'text': 'BreakingNews', 'indices': [15, 28]}, {'text': 'Rwanda', 'indices': [30, 37]}]",2019-11-05 11:57:45+00:00,2719,832
RwandaAgri,#breakingnews: #rwanda’s nyabihu tea factory scoops another highest price – selling its bp1 at us $7.22 at the ongoing @eatta’s 45th auction. it's the highest record price in the history of this auction. the recent highest price (6.64usd) was earned by the same factory. congz 🏆! https://t.co/m6dhfnbdl9,RwandaTea,"[{'text': 'BreakingNews', 'indices': [15, 28]}, {'text': 'Rwanda', 'indices': [30, 37]}]",2019-11-05 11:57:23+00:00,20706,1348
g_mukeshimana,#breakingnews: #rwanda’s nyabihu tea factory scoops another highest price – selling its bp1 at us $7.22 at the ongoing @eatta’s 45th auction. it's the highest record price in the history of this auction. the recent highest price (6.64usd) was earned by the same factory. congz 🏆! https://t.co/m6dhfnbdl9,RwandaTea,"[{'text': 'BreakingNews', 'indices': [15, 28]}, {'text': 'Rwanda', 'indices': [30, 37]}]",2019-11-05 11:57:13+00:00,18381,221
Empty_Shell_,fotos cosplay en sesiones vs fotos en salones con los colegas https://t.co/naoqjqnm8g,David_BP1,[],2019-11-05 11:48:33+00:00,223,272
kateygoalie,"the facility will include centres for youth bipolar disorder and anxiety disorders, sleep disorder services and the largest traumatic brain injury clinic of its kind in ontario
https://t.co/w27tefcab2",CTVToronto,[],2019-11-05 11:35:28+00:00,5095,2223
GusasiraE,#breakingnews: #rwanda’s nyabihu tea factory scoops another highest price – selling its bp1 at us $7.22 at the ongoing @eatta’s 45th auction. it's the highest record price in the history of this auction. the recent highest price (6.64usd) was earned by the same factory. congz 🏆! https://t.co/m6dhfnbdl9,RwandaTea,"[{'text': 'BreakingNews', 'indices': [15, 28]}, {'text': 'Rwanda', 'indices': [30, 37]}]",2019-11-05 11:28:09+00:00,24,117
AubinRukera,#breakingnews: #rwanda’s nyabihu tea factory scoops another highest price – selling its bp1 at us $7.22 at the ongoing @eatta’s 45th auction. it's the highest record price in the history of this auction. the recent highest price (6.64usd) was earned by the same factory. congz 🏆! https://t.co/m6dhfnbdl9,RwandaTea,"[{'text': 'BreakingNews', 'indices': [15, 28]}, {'text': 'Rwanda', 'indices': [30, 37]}]",2019-11-05 11:24:18+00:00,1555,306
Chemical_Sex__,なにやってもbp1.5倍出るしやらない方がいいのかもしれん,no retweet username,[],2019-11-05 11:19:02+00:00,411,451
pxmefiore_,fotos cosplay en sesiones vs fotos en salones con los colegas https://t.co/naoqjqnm8g,David_BP1,[],2019-11-05 11:14:21+00:00,195,1209
DarkAndFox,types of bipolar disorder https://t.co/mnkos4pvbe #anxiety #bipolar https://t.co/bypf6ame5f,PsychCentral,"[{'text': 'Anxiety', 'indices': [68, 76]}, {'text': 'Bipolar', 'indices': [77, 85]}]",2019-11-05 11:12:25+00:00,1,55
mrmadillnews,"the facility will include centres for youth bipolar disorder and anxiety disorders, sleep disorder services and the largest traumatic brain injury clinic of its kind in ontario
https://t.co/w27tefcab2",CTVToronto,[],2019-11-05 11:09:59+00:00,312,37
JacquesCIrumva,#breakingnews: #rwanda’s nyabihu tea factory scoops another highest price – selling its bp1 at us $7.22 at the ongoing @eatta’s 45th auction. it's the highest record price in the history of this auction. the recent highest price (6.64usd) was earned by the same factory. congz 🏆! https://t.co/m6dhfnbdl9,RwandaTea,"[{'text': 'BreakingNews', 'indices': [15, 28]}, {'text': 'Rwanda', 'indices': [30, 37]}]",2019-11-05 11:05:04+00:00,1911,1193
games2play4sure,#bipolar disorder signs and #symptoms: recognizing and getting help for mania and bipolar depression https://t.co/rdk3de83fn,no retweet username,"[{'text': 'Bipolar', 'indices': [0, 8]}, {'text': 'Symptoms', 'indices': [28, 37]}]",2019-11-05 10:56:19+00:00,301,432
NValeur,#breakingnews: #rwanda’s nyabihu tea factory scoops another highest price – selling its bp1 at us $7.22 at the ongoing @eatta’s 45th auction. it's the highest record price in the history of this auction. the recent highest price (6.64usd) was earned by the same factory. congz 🏆! https://t.co/m6dhfnbdl9,RwandaTea,"[{'text': 'BreakingNews', 'indices': [15, 28]}, {'text': 'Rwanda', 'indices': [30, 37]}]",2019-11-05 10:51:19+00:00,2692,1188
PieNtwari,#breakingnews: #rwanda’s nyabihu tea factory scoops another highest price – selling its bp1 at us $7.22 at the ongoing @eatta’s 45th auction. it's the highest record price in the history of this auction. the recent highest price (6.64usd) was earned by the same factory. congz 🏆! https://t.co/m6dhfnbdl9,RwandaTea,"[{'text': 'BreakingNews', 'indices': [15, 28]}, {'text': 'Rwanda', 'indices': [30, 37]}]",2019-11-05 10:41:26+00:00,966,1102
RwandAgriExport,#breakingnews: #rwanda’s nyabihu tea factory scoops another highest price – selling its bp1 at us $7.22 at the ongoing @eatta’s 45th auction. it's the highest record price in the history of this auction. the recent highest price (6.64usd) was earned by the same factory. congz 🏆! https://t.co/m6dhfnbdl9,RwandaTea,"[{'text': 'BreakingNews', 'indices': [15, 28]}, {'text': 'Rwanda', 'indices': [30, 37]}]",2019-11-05 10:39:26+00:00,14301,982
nishiokov,"since the dsm-5 was published,  1/3 of patients previously diagnosed w/ bipolar disorder no longer qualify as having the disorder. so what does this say about those who did meet the stricter criteria? https://t.co/fgwbvvpz7q 
@regionh @stanfordpsy @uthealthsa @mayoclinic @gwsmhs https://t.co/bhsegvze7c",PsychiatristCNS,[],2019-11-05 10:31:44+00:00,362,586
AndrewPulford,"👩‍🎓former mellow member aigli is looking for people to share their experiences of bipolar disorder and motherhood for her doctoral project @edinburghuni🤱please share! 😌

information video: https://t.co/wziyqujpoe

information sheet: https://t.co/kesaejojp3

#maternalmentalhealth https://t.co/5vepo9ecx6",MellowParenting,[],2019-11-05 10:26:23+00:00,586,970
RwandaTea,#breakingnews: #rwanda’s nyabihu tea factory scoops another highest price – selling its bp1 at us $7.22 at the ongoing @eatta’s 45th auction. it's the highest record price in the history of this auction. the recent highest price (6.64usd) was earned by the same factory. congz 🏆! https://t.co/m6dhfnbdl9,no retweet username,"[{'text': 'BreakingNews', 'indices': [0, 13]}, {'text': 'Rwanda', 'indices': [15, 22]}]",2019-11-05 10:26:04+00:00,1781,94
MellowParenting,"👩‍🎓former mellow member aigli is looking for people to share their experiences of bipolar disorder and motherhood for her doctoral project @edinburghuni🤱please share! 😌

information video: https://t.co/wziyqujpoe

information sheet: https://t.co/kesaejojp3

#maternalmentalhealth https://t.co/5vepo9ecx6",no retweet username,[],2019-11-05 10:20:53+00:00,2469,1170
GreenGlasses_,fotos cosplay en sesiones vs fotos en salones con los colegas https://t.co/naoqjqnm8g,David_BP1,[],2019-11-05 09:27:25+00:00,580,656
LStabile34,5 types of bipolar disorder https://t.co/hwhntjcumr{{https://t.co/iilyhkymi8}}&amp;utm_adgroup={{https://t.co/b0g5fyakck}}&amp;utm_content={{https://t.co/ka70wmctcq}}&amp;utm_placement={{placement}},no retweet username,[],2019-11-05 09:21:49+00:00,894,3043
organizationuuu,"what opportunities can digital technologies bring for managing bipolar disorder? find out at the bipolar uk conference, tickets available here: https://t.co/zckg2xamts https://t.co/sci0or9owp",BipolarUK,[],2019-11-05 09:20:05+00:00,138,4573
heIIbxnt,"gitlin, m. j., swendsen, j., heller, t. l., &amp; hammen, c. (1995). relapse and impairment in bipolar disorder. the american journal of psychiatry.

mitchell, l., &amp; romans, s. (2003). spiritual beliefs in bipolar affective disorder: their relevance for illness management. journal. https://t.co/bkd9ye5zhc",no retweet username,[],2019-11-05 08:49:48+00:00,117,129
RAL3012,"poor air quality leads to depression and bipolar disorder, study finds https://t.co/q5eoh9uhdh #environment #mentalhealth https://t.co/uoyylltlsw",wef,"[{'text': 'environment', 'indices': [104, 116]}, {'text': 'MentalHealth', 'indices': [117, 130]}]",2019-11-05 08:49:36+00:00,15,267
MishRadio,"the facility will include centres for youth bipolar disorder and anxiety disorders, sleep disorder services and the largest traumatic brain injury clinic of its kind in ontario
https://t.co/w27tefcab2",CTVToronto,[],2019-11-05 08:46:29+00:00,94,186
Sammusic545,fotos cosplay en sesiones vs fotos en salones con los colegas https://t.co/naoqjqnm8g,David_BP1,[],2019-11-05 08:45:57+00:00,86,58
